serial,lat,lon,geometry,시리얼,초미세먼지(㎍/㎥),미세먼지(㎍/㎥),기온(℃),상대습도( %),풍향(°),풍속(m/s),초미세먼지 보정(㎍/㎥),미세먼지 보정(㎍/㎥),전송시간
V02Q1940046,37.49440262,126.83147209999998,POINT (126.8314721 37.49440262),V02Q1940046,52.6875,82.20833333333333,15.192361111111117,45.857638888888886,,,39.513888888888886,88.3125,202104387366.66666
V02Q1940111,37.50929949,126.8783801,POINT (126.8783801 37.50929949),V02Q1940111,36.37248322147651,47.54026845637584,16.516778523489943,42.31543624161074,,,32.38255033557047,65.05369127516778,202104373021.81207
V02Q1940165,37.49689198,126.8437271,POINT (126.8437271 37.49689198),V02Q1940165,32.63961038961039,42.94805194805195,14.998051948051959,46.32142857142857,,,29.51298701298701,59.08766233766234,202104346304.22076
V02Q1940056,37.48743033,126.8385274,POINT (126.8385274 37.48743033),V02Q1940056,35.226950354609926,46.343971631205676,14.177304964539006,48.251773049645394,,,32.51063829787234,64.90425531914893,202104386424.11346
V02Q1940047,37.48214478,126.8893389,POINT (126.8893389 37.48214478),V02Q1940047,51.60944206008584,77.46781115879828,15.512446351931336,44.38197424892704,,,38.05150214592275,95.93562231759657,202104460001.28757
V02Q1940050,37.49954171,126.8507733,POINT (126.8507733 37.49954171),V02Q1940050,30.99644128113879,37.50177935943061,15.148042704626329,45.306049822064054,,,29.459074733096084,55.96085409252669,202104380079.7153
V02Q1940054,37.49049118,126.8553777,POINT (126.8553777 37.49049118),V02Q1940054,40.35666666666667,60.5,15.426333333333332,45.81333333333333,,,32.64333333333333,72.89,202104372075.33334
V02Q1940051,37.48455732,126.85370959999999,POINT (126.8537096 37.48455732),V02Q1940051,32.43648208469055,61.960912052117266,15.329967426710104,45.671009771986974,,,30.250814332247558,75.53745928338762,202104374804.886
V02Q1940086,37.49775403,126.86331070000001,POINT (126.8633107 37.49775403),V02Q1940086,36.94773519163763,49.965156794425084,15.458536585365849,45.254355400696866,,,31.860627177700348,66.55052264808363,202104382184.32056
V02Q1940065,37.50568303,126.8586102,POINT (126.8586102 37.50568303),V02Q1940065,40.27208480565371,55.696113074204945,15.844169611307423,43.879858657243815,,,33.08833922261484,70.86925795053004,202104364280.212
